Начальная станция; Конечная станция; УП; Вес;
АМУР-ХАБАРОВСК I; АМУР — ХАБАРОВСК I;1;
ВОЛОЧАЕВКА II-ДЕЖНЕВКА; ВОЛОЧАЕВКА II — ДЕЖНЕВКА;1;
УРУША-БАМОВСКАЯ; УРУША — БАМОВСКАЯ;1;
БАМОВСКАЯ-ГОРЕЛЫЙ; БАМОВСКАЯ — ГОРЕЛЫЙ;1;
ГОРЕЛЫЙ-СКОВОРОДИНО; ГОРЕЛЫЙ — СКОВОРОДИНО;1;
ГОРЕЛЫЙ-ШТУРМ; ГОРЕЛЫЙ — ШТУРМ;30;
СКОВОРОДИНО-РЕЙНОВО; СКОВОРОДИНО — РЕЙНОВО;1;
АСКИЗ-АБАЗА; АСКИЗ — АБАЗА;1;
ТАШЕБА-АБАКАН; ТАШЕБА — АБАКАН;1;
СУРИКОВО-АБАЛАКОВО; СУРИКОВО — АБАЛАКОВО;1;
ТИМОНИНО-СУРИКОВО; ТИМОНИНО — СУРИКОВО;1;
КАЗАНКАН-АНГАРАКАН; КАЗАНКАН — АНГАРАКАН;1;
ПЕРЕВАЛ-АНГАРАКАН; ПЕРЕВАЛ — АНГАРАКАН;1;
АНГАСОЛКА-АНДРИАНОВСКАЯ; АНГАСОЛКА — АНДРИАНОВСКАЯ;1;
СЛЮДЯНКА II-АНГАСОЛКА; СЛЮДЯНКА II — АНГАСОЛКА;1;
КУЛТУК-СЛЮДЯНКА II; КУЛТУК — СЛЮДЯНКА II;1;
БАЙКАЛ-КУЛТУК; БАЙКАЛ — КУЛТУК;1;
НОВОНЕЖИНО-АНИСИМОВКА; НОВОНЕЖИНО — АНИСИМОВКА;1;
БУРЕЯ-АРХАРА; БУРЕЯ — АРХАРА;1;
ЗЕРЦАЛЫ-АЧИНСК I; ЗЕРЦАЛЫ — АЧИНСК I;1;
БОГОТОЛ-ЗЕРЦАЛЫ; БОГОТОЛ — ЗЕРЦАЛЫ;1;
АЧИНСК I-АЧИНСК II; АЧИНСК I — АЧИНСК II;2;
ЗЛОБИНО-БАЗАИХА; ЗЛОБИНО — БАЗАИХА;1;
СЮЛЬБАН-БАЛБУХТА; СЮЛЬБАН — БАЛБУХТА;1;
ПРИМОРСКАЯ-БАМБУРОВО; ПРИМОРСКАЯ — БАМБУРОВО;1;
БАРАНОВСКИЙ-ПРИМОРСКАЯ; БАРАНОВСКИЙ — ПРИМОРСКАЯ;1;
ЛЕДЯНАЯ-БЕЛОГОРСК; ЛЕДЯНАЯ — БЕЛОГОРСК;1;
ШИМАНОВСКАЯ-ЛЕДЯНАЯ; ШИМАНОВСКАЯ — ЛЕДЯНАЯ;1;
БЕЛОГОРСК-БЕЛОГОРСК II; БЕЛОГОРСК — БЕЛОГОРСК II;1;
